款号,系列名,母版名,甲型,长度,主色,辅助色,工艺,元素,风格,场景,目标用户,包装主色,英文卖点,中文卖点,图片路径,打样状态,成本,建议售价,设计感评分,商业感评分,生产难度评分,包装匹配评分,视频表现评分,综合评分,复盘备注
ND01-001,Nude Daily 日常裸感系列,Nude Master 01,方圆,短,酒红,浅粉,立体滴胶,珍珠,高级感,日常,时尚用户,米白,"立体滴胶 finish with 珍珠, 高级感 vibe for 日常",立体滴胶工艺结合珍珠元素，呈现高级感风格，适合日常场景,images/raw/ND01-001.jpg,待出图,26.17,58.9,7.1,7.2,7.7,8.3,8.8,7.9,
ND01-002,Nude Daily 日常裸感系列,Nude Master 02,芭蕾,中,海盐蓝,透明,镜面粉,星点,轻奢,通勤,内容博主,淡粉,"镜面粉 finish with 星点, 轻奢 vibe for 通勤",镜面粉工艺结合星点元素，呈现轻奢风格，适合通勤场景,images/raw/ND01-002.jpg,待出图,18.67,47.51,9.1,6.8,6.9,7.6,7.4,8.0,
ND01-003,Nude Daily 日常裸感系列,Nude Master 03,椭圆,短,豆沙粉,雾灰,珍珠贴,蝴蝶结,氛围感,婚礼,时尚用户,淡粉,"珍珠贴 finish with 蝴蝶结, 氛围感 vibe for 婚礼",珍珠贴工艺结合蝴蝶结元素，呈现氛围感风格，适合婚礼场景,images/raw/ND01-003.jpg,待出图,25.86,86.04,6.9,7.2,6.6,6.8,7.0,7.3,
ND01-004,Nude Daily 日常裸感系列,Nude Master 04,方圆,中,酒红,透明,贝壳片,珍珠,甜美,婚礼,白领,银灰,"贝壳片 finish with 珍珠, 甜美 vibe for 婚礼",贝壳片工艺结合珍珠元素，呈现甜美风格，适合婚礼场景,images/raw/ND01-004.jpg,打样中,18.41,68.09,8.7,8.4,6.1,8.8,6.8,8.4,
ND01-005,Nude Daily 日常裸感系列,Nude Master 05,短方,中,奶油白,浅粉,贝壳片,星点,轻奢,拍照,学生,淡粉,"贝壳片 finish with 星点, 轻奢 vibe for 拍照",贝壳片工艺结合星点元素，呈现轻奢风格，适合拍照场景,images/raw/ND01-005.jpg,打样中,21.63,49.88,9.5,8.3,8.2,7.2,8.0,8.5,
ND01-006,Nude Daily 日常裸感系列,Nude Master 06,短方,短,酒红,亮银,立体滴胶,水波纹,高级感,旅行,内容博主,海盐蓝,"立体滴胶 finish with 水波纹, 高级感 vibe for 旅行",立体滴胶工艺结合水波纹元素，呈现高级感风格，适合旅行场景,images/raw/ND01-006.jpg,打样中,21.59,55.07,9.8,8.1,5.8,6.7,6.6,8.2,
ND01-007,Nude Daily 日常裸感系列,Nude Master 07,杏仁,中长,银铬,雾灰,珍珠贴,爱心,氛围感,派对,时尚用户,淡粉,"珍珠贴 finish with 爱心, 氛围感 vibe for 派对",珍珠贴工艺结合爱心元素，呈现氛围感风格，适合派对场景,images/raw/ND01-007.jpg,已确认,35.31,126.31,6.8,8.7,8.0,8.2,7.2,7.9,
ND01-008,Nude Daily 日常裸感系列,Nude Master 08,椭圆,短,酒红,玫瑰金,法式描边,几何线条,通勤,通勤,新娘,海盐蓝,"法式描边 finish with 几何线条, 通勤 vibe for 通勤",法式描边工艺结合几何线条元素，呈现通勤风格，适合通勤场景,images/raw/ND01-008.jpg,已确认,30.29,91.24,7.1,8.4,8.6,8.1,6.9,7.8,
ND01-009,Nude Daily 日常裸感系列,Nude Master 09,椭圆,短,奶油白,香槟金,贝壳片,几何线条,通勤,日常,新娘,淡粉,"贝壳片 finish with 几何线条, 通勤 vibe for 日常",贝壳片工艺结合几何线条元素，呈现通勤风格，适合日常场景,images/raw/ND01-009.jpg,可量产,17.75,45.89,8.5,6.7,8.2,9.1,9.7,8.3,
ND01-010,Nude Daily 日常裸感系列,Nude Master 10,芭蕾,短,薰衣草紫,透明,法式描边,水波纹,氛围感,拍照,时尚用户,浅紫,"法式描边 finish with 水波纹, 氛围感 vibe for 拍照",法式描边工艺结合水波纹元素，呈现氛围感风格，适合拍照场景,images/raw/ND01-010.jpg,可量产,35.14,129.54,9.1,8.6,8.1,7.8,8.6,8.7,
ND02-001,Glazed Pearl 釉光珍珠系列,Glazed Master 01,椭圆,中,奶油白,透明,渐变,金箔,轻奢,日常,新娘,米白,"渐变 finish with 金箔, 轻奢 vibe for 日常",渐变工艺结合金箔元素，呈现轻奢风格，适合日常场景,images/raw/ND02-001.jpg,待出图,26.12,67.08,7.5,6.7,7.8,7.2,9.5,7.8,
ND02-002,Glazed Pearl 釉光珍珠系列,Glazed Master 02,椭圆,短,奶油白,浅粉,镜面粉,几何线条,轻奢,旅行,白领,银灰,"镜面粉 finish with 几何线条, 轻奢 vibe for 旅行",镜面粉工艺结合几何线条元素，呈现轻奢风格，适合旅行场景,images/raw/ND02-002.jpg,待出图,34.45,107.27,8.2,8.9,8.5,7.1,6.5,8.0,
ND02-003,Glazed Pearl 釉光珍珠系列,Glazed Master 03,短方,中,银铬,玫瑰金,手绘花,星点,高级感,通勤,学生,米白,"手绘花 finish with 星点, 高级感 vibe for 通勤",手绘花工艺结合星点元素，呈现高级感风格，适合通勤场景,images/raw/ND02-003.jpg,待出图,21.66,59.41,9.4,7.3,6.2,7.9,7.7,8.3,
ND02-004,Glazed Pearl 釉光珍珠系列,Glazed Master 04,椭圆,中,海盐蓝,雾灰,手绘花,蝴蝶结,通勤,通勤,时尚用户,米白,"手绘花 finish with 蝴蝶结, 通勤 vibe for 通勤",手绘花工艺结合蝴蝶结元素，呈现通勤风格，适合通勤场景,images/raw/ND02-004.jpg,打样中,35.26,129.83,9.3,7.0,7.3,7.2,7.6,8.1,
ND02-005,Glazed Pearl 釉光珍珠系列,Glazed Master 05,方圆,短,银铬,香槟金,珍珠贴,水波纹,极简,婚礼,内容博主,银灰,"珍珠贴 finish with 水波纹, 极简 vibe for 婚礼",珍珠贴工艺结合水波纹元素，呈现极简风格，适合婚礼场景,images/raw/ND02-005.jpg,打样中,34.98,132.67,8.5,8.7,6.1,7.4,9.7,8.6,
ND02-006,Glazed Pearl 釉光珍珠系列,Glazed Master 06,芭蕾,中长,奶油白,香槟金,贝壳片,星点,通勤,旅行,内容博主,海盐蓝,"贝壳片 finish with 星点, 通勤 vibe for 旅行",贝壳片工艺结合星点元素，呈现通勤风格，适合旅行场景,images/raw/ND02-006.jpg,打样中,34.07,103.91,7.0,8.1,8.6,6.7,6.4,7.4,
ND02-007,Glazed Pearl 釉光珍珠系列,Glazed Master 07,杏仁,中,珍珠白,浅粉,猫眼,蝴蝶结,极简,通勤,时尚用户,海盐蓝,"猫眼 finish with 蝴蝶结, 极简 vibe for 通勤",猫眼工艺结合蝴蝶结元素，呈现极简风格，适合通勤场景,images/raw/ND02-007.jpg,已确认,24.55,90.73,7.4,8.7,6.4,7.8,8.6,8.2,
ND02-008,Glazed Pearl 釉光珍珠系列,Glazed Master 08,椭圆,中,樱花粉,雾灰,猫眼,几何线条,氛围感,旅行,学生,米白,"猫眼 finish with 几何线条, 氛围感 vibe for 旅行",猫眼工艺结合几何线条元素，呈现氛围感风格，适合旅行场景,images/raw/ND02-008.jpg,已确认,24.9,74.93,7.2,7.6,5.8,7.3,7.2,7.5,
ND02-009,Glazed Pearl 釉光珍珠系列,Glazed Master 09,短方,中长,酒红,香槟金,镜面粉,蝴蝶结,轻奢,婚礼,学生,米白,"镜面粉 finish with 蝴蝶结, 轻奢 vibe for 婚礼",镜面粉工艺结合蝴蝶结元素，呈现轻奢风格，适合婚礼场景,images/raw/ND02-009.jpg,可量产,29.82,73.02,7.6,7.2,6.8,8.7,9.3,8.2,
ND02-010,Glazed Pearl 釉光珍珠系列,Glazed Master 10,芭蕾,中,酒红,香槟金,渐变,爱心,甜美,日常,学生,淡粉,"渐变 finish with 爱心, 甜美 vibe for 日常",渐变工艺结合爱心元素，呈现甜美风格，适合日常场景,images/raw/ND02-010.jpg,可量产,30.51,98.22,7.6,8.8,7.5,7.9,6.2,8.0,
ND03-001,Clean French 干净法式系列,Clean Master 01,方圆,中长,薰衣草紫,香槟金,贝壳片,珍珠,极简,约会,学生,淡粉,"贝壳片 finish with 珍珠, 极简 vibe for 约会",贝壳片工艺结合珍珠元素，呈现极简风格，适合约会场景,images/raw/ND03-001.jpg,待出图,20.75,76.63,9.7,6.6,6.8,8.7,8.6,8.5,
ND03-002,Clean French 干净法式系列,Clean Master 02,椭圆,中长,银铬,亮银,立体滴胶,珍珠,轻奢,派对,学生,珠光白,"立体滴胶 finish with 珍珠, 轻奢 vibe for 派对",立体滴胶工艺结合珍珠元素，呈现轻奢风格，适合派对场景,images/raw/ND03-002.jpg,待出图,29.68,81.07,9.6,9.0,8.7,9.1,7.2,8.8,
ND03-003,Clean French 干净法式系列,Clean Master 03,方圆,中,奶茶裸,透明,立体滴胶,金箔,极简,婚礼,新娘,珠光白,"立体滴胶 finish with 金箔, 极简 vibe for 婚礼",立体滴胶工艺结合金箔元素，呈现极简风格，适合婚礼场景,images/raw/ND03-003.jpg,待出图,17.35,56.49,8.0,7.4,5.8,9.0,7.5,8.0,
ND03-004,Clean French 干净法式系列,Clean Master 04,芭蕾,中,奶油白,珠光白,猫眼,蝴蝶结,甜美,约会,时尚用户,淡粉,"猫眼 finish with 蝴蝶结, 甜美 vibe for 约会",猫眼工艺结合蝴蝶结元素，呈现甜美风格，适合约会场景,images/raw/ND03-004.jpg,打样中,12.92,40.76,7.8,8.9,7.1,9.6,6.6,8.5,
ND03-005,Clean French 干净法式系列,Clean Master 05,芭蕾,短,酒红,香槟金,珍珠贴,星点,氛围感,拍照,时尚用户,银灰,"珍珠贴 finish with 星点, 氛围感 vibe for 拍照",珍珠贴工艺结合星点元素，呈现氛围感风格，适合拍照场景,images/raw/ND03-005.jpg,打样中,29.27,99.14,8.8,7.6,5.8,8.6,7.4,8.2,
ND03-006,Clean French 干净法式系列,Clean Master 06,椭圆,中长,珍珠白,冰蓝,镜面粉,爱心,甜美,派对,新娘,海盐蓝,"镜面粉 finish with 爱心, 甜美 vibe for 派对",镜面粉工艺结合爱心元素，呈现甜美风格，适合派对场景,images/raw/ND03-006.jpg,打样中,15.05,43.23,9.6,8.6,8.8,8.5,7.3,8.6,
ND03-007,Clean French 干净法式系列,Clean Master 07,芭蕾,短,酒红,冰蓝,立体滴胶,爱心,氛围感,旅行,新娘,浅紫,"立体滴胶 finish with 爱心, 氛围感 vibe for 旅行",立体滴胶工艺结合爱心元素，呈现氛围感风格，适合旅行场景,images/raw/ND03-007.jpg,已确认,22.6,74.15,8.3,9.0,9.1,8.9,8.6,8.6,
ND03-008,Clean French 干净法式系列,Clean Master 08,椭圆,中长,果冻橙,珠光白,渐变,金箔,高级感,婚礼,白领,珠光白,"渐变 finish with 金箔, 高级感 vibe for 婚礼",渐变工艺结合金箔元素，呈现高级感风格，适合婚礼场景,images/raw/ND03-008.jpg,已确认,15.54,35.34,9.8,8.4,8.3,8.0,9.4,8.9,
ND03-009,Clean French 干净法式系列,Clean Master 09,芭蕾,短,银铬,透明,珍珠贴,金箔,轻奢,通勤,学生,米白,"珍珠贴 finish with 金箔, 轻奢 vibe for 通勤",珍珠贴工艺结合金箔元素，呈现轻奢风格，适合通勤场景,images/raw/ND03-009.jpg,可量产,30.68,78.24,9.2,8.7,7.2,8.3,9.5,9.1,
ND03-010,Clean French 干净法式系列,Clean Master 10,方圆,中,薰衣草紫,透明,贝壳片,几何线条,氛围感,拍照,时尚用户,浅紫,"贝壳片 finish with 几何线条, 氛围感 vibe for 拍照",贝壳片工艺结合几何线条元素，呈现氛围感风格，适合拍照场景,images/raw/ND03-010.jpg,可量产,31.93,98.24,9.5,8.8,7.3,7.3,7.1,8.6,
ND04-001,Lavender Galaxy 薰衣草星河系列,Lavender Master 01,椭圆,中长,豆沙粉,浅粉,镜面粉,几何线条,通勤,通勤,新娘,珠光白,"镜面粉 finish with 几何线条, 通勤 vibe for 通勤",镜面粉工艺结合几何线条元素，呈现通勤风格，适合通勤场景,images/raw/ND04-001.jpg,待出图,18.52,50.22,8.4,6.9,6.4,8.7,8.7,8.2,
ND04-002,Lavender Galaxy 薰衣草星河系列,Lavender Master 02,方圆,中,银铬,珠光白,手绘花,爱心,通勤,约会,内容博主,浅紫,"手绘花 finish with 爱心, 通勤 vibe for 约会",手绘花工艺结合爱心元素，呈现通勤风格，适合约会场景,images/raw/ND04-002.jpg,待出图,33.72,105.7,8.9,9.2,8.3,7.7,6.2,8.4,
ND04-003,Lavender Galaxy 薰衣草星河系列,Lavender Master 03,椭圆,中,银铬,玫瑰金,立体滴胶,几何线条,轻奢,婚礼,内容博主,浅紫,"立体滴胶 finish with 几何线条, 轻奢 vibe for 婚礼",立体滴胶工艺结合几何线条元素，呈现轻奢风格，适合婚礼场景,images/raw/ND04-003.jpg,待出图,12.7,34.77,8.8,7.8,6.1,8.0,6.7,8.1,
ND04-004,Lavender Galaxy 薰衣草星河系列,Lavender Master 04,芭蕾,中长,奶茶裸,玫瑰金,猫眼,蝴蝶结,高级感,派对,白领,浅紫,"猫眼 finish with 蝴蝶结, 高级感 vibe for 派对",猫眼工艺结合蝴蝶结元素，呈现高级感风格，适合派对场景,images/raw/ND04-004.jpg,打样中,16.36,42.8,7.8,7.9,6.7,9.3,7.2,8.2,
ND04-005,Lavender Galaxy 薰衣草星河系列,Lavender Master 05,短方,中,珍珠白,透明,猫眼,星点,甜美,约会,学生,银灰,"猫眼 finish with 星点, 甜美 vibe for 约会",猫眼工艺结合星点元素，呈现甜美风格，适合约会场景,images/raw/ND04-005.jpg,打样中,12.97,29.18,7.5,9.1,7.8,7.3,7.9,8.2,
ND04-006,Lavender Galaxy 薰衣草星河系列,Lavender Master 06,方圆,中长,海盐蓝,透明,镜面粉,碎钻,轻奢,旅行,时尚用户,银灰,"镜面粉 finish with 碎钻, 轻奢 vibe for 旅行",镜面粉工艺结合碎钻元素，呈现轻奢风格，适合旅行场景,images/raw/ND04-006.jpg,打样中,29.24,100.72,7.3,7.5,7.6,9.5,8.3,8.1,
ND04-007,Lavender Galaxy 薰衣草星河系列,Lavender Master 07,短方,中,海盐蓝,雾灰,立体滴胶,蝴蝶结,高级感,拍照,新娘,银灰,"立体滴胶 finish with 蝴蝶结, 高级感 vibe for 拍照",立体滴胶工艺结合蝴蝶结元素，呈现高级感风格，适合拍照场景,images/raw/ND04-007.jpg,已确认,26.41,63.22,9.8,8.9,6.8,7.9,7.5,8.9,
ND04-008,Lavender Galaxy 薰衣草星河系列,Lavender Master 08,芭蕾,中长,樱花粉,香槟金,珍珠贴,几何线条,通勤,派对,新娘,银灰,"珍珠贴 finish with 几何线条, 通勤 vibe for 派对",珍珠贴工艺结合几何线条元素，呈现通勤风格，适合派对场景,images/raw/ND04-008.jpg,已确认,33.4,98.05,7.3,7.0,7.4,8.6,8.4,7.9,
ND04-009,Lavender Galaxy 薰衣草星河系列,Lavender Master 09,芭蕾,中,豆沙粉,玫瑰金,镜面粉,碎钻,轻奢,拍照,学生,淡粉,"镜面粉 finish with 碎钻, 轻奢 vibe for 拍照",镜面粉工艺结合碎钻元素，呈现轻奢风格，适合拍照场景,images/raw/ND04-009.jpg,可量产,33.16,85.89,8.2,8.4,6.9,6.6,9.3,8.4,
ND04-010,Lavender Galaxy 薰衣草星河系列,Lavender Master 10,杏仁,中,海盐蓝,珠光白,镜面粉,碎钻,甜美,旅行,新娘,海盐蓝,"镜面粉 finish with 碎钻, 甜美 vibe for 旅行",镜面粉工艺结合碎钻元素，呈现甜美风格，适合旅行场景,images/raw/ND04-010.jpg,可量产,12.24,45.49,7.1,8.7,7.3,8.9,8.7,8.4,
ND05-001,Bridal Soft White 婚礼柔白系列,Bridal Master 01,短方,中,奶茶裸,雾灰,镜面粉,金箔,极简,通勤,白领,淡粉,"镜面粉 finish with 金箔, 极简 vibe for 通勤",镜面粉工艺结合金箔元素，呈现极简风格，适合通勤场景,images/raw/ND05-001.jpg,待出图,27.94,77.96,8.5,7.6,9.2,8.3,7.5,8.0,
ND05-002,Bridal Soft White 婚礼柔白系列,Bridal Master 02,短方,中,酒红,冰蓝,立体滴胶,蝴蝶结,高级感,约会,新娘,米白,"立体滴胶 finish with 蝴蝶结, 高级感 vibe for 约会",立体滴胶工艺结合蝴蝶结元素，呈现高级感风格，适合约会场景,images/raw/ND05-002.jpg,待出图,29.83,111.01,8.9,7.1,8.2,7.4,8.3,8.1,
ND05-003,Bridal Soft White 婚礼柔白系列,Bridal Master 03,芭蕾,中长,酒红,雾灰,立体滴胶,水波纹,轻奢,婚礼,白领,淡粉,"立体滴胶 finish with 水波纹, 轻奢 vibe for 婚礼",立体滴胶工艺结合水波纹元素，呈现轻奢风格，适合婚礼场景,images/raw/ND05-003.jpg,待出图,12.34,37.69,7.6,9.5,7.5,8.7,6.7,8.4,
ND05-004,Bridal Soft White 婚礼柔白系列,Bridal Master 04,短方,短,奶茶裸,冰蓝,手绘花,几何线条,极简,婚礼,白领,米白,"手绘花 finish with 几何线条, 极简 vibe for 婚礼",手绘花工艺结合几何线条元素，呈现极简风格，适合婚礼场景,images/raw/ND05-004.jpg,打样中,18.06,64.63,7.1,6.7,7.3,8.3,8.7,7.8,
ND05-005,Bridal Soft White 婚礼柔白系列,Bridal Master 05,杏仁,短,果冻橙,冰蓝,渐变,金箔,通勤,旅行,内容博主,海盐蓝,"渐变 finish with 金箔, 通勤 vibe for 旅行",渐变工艺结合金箔元素，呈现通勤风格，适合旅行场景,images/raw/ND05-005.jpg,打样中,26.31,83.91,9.1,7.7,8.9,7.5,8.3,8.2,
ND05-006,Bridal Soft White 婚礼柔白系列,Bridal Master 06,短方,中,果冻橙,香槟金,渐变,金箔,高级感,约会,新娘,银灰,"渐变 finish with 金箔, 高级感 vibe for 约会",渐变工艺结合金箔元素，呈现高级感风格，适合约会场景,images/raw/ND05-006.jpg,打样中,13.95,36.04,8.5,7.0,7.0,8.7,7.9,8.2,
ND05-007,Bridal Soft White 婚礼柔白系列,Bridal Master 07,方圆,短,酒红,冰蓝,手绘花,蝴蝶结,高级感,约会,新娘,银灰,"手绘花 finish with 蝴蝶结, 高级感 vibe for 约会",手绘花工艺结合蝴蝶结元素，呈现高级感风格，适合约会场景,images/raw/ND05-007.jpg,已确认,26.15,91.17,7.4,6.9,6.3,7.0,7.2,7.4,
ND05-008,Bridal Soft White 婚礼柔白系列,Bridal Master 08,杏仁,短,奶茶裸,亮银,镜面粉,水波纹,极简,日常,内容博主,银灰,"镜面粉 finish with 水波纹, 极简 vibe for 日常",镜面粉工艺结合水波纹元素，呈现极简风格，适合日常场景,images/raw/ND05-008.jpg,已确认,19.3,54.89,7.6,8.2,7.1,8.4,9.4,8.5,
ND05-009,Bridal Soft White 婚礼柔白系列,Bridal Master 09,椭圆,中长,酒红,香槟金,渐变,金箔,高级感,拍照,时尚用户,海盐蓝,"渐变 finish with 金箔, 高级感 vibe for 拍照",渐变工艺结合金箔元素，呈现高级感风格，适合拍照场景,images/raw/ND05-009.jpg,可量产,34.82,132.29,8.8,7.3,5.6,8.9,7.9,8.2,
ND05-010,Bridal Soft White 婚礼柔白系列,Bridal Master 10,短方,中,薰衣草紫,玫瑰金,手绘花,蝴蝶结,极简,婚礼,内容博主,淡粉,"手绘花 finish with 蝴蝶结, 极简 vibe for 婚礼",手绘花工艺结合蝴蝶结元素，呈现极简风格，适合婚礼场景,images/raw/ND05-010.jpg,可量产,19.71,46.66,7.3,7.8,7.3,8.6,7.6,8.0,
ND06-001,Jelly Summer 果冻夏日系列,Jelly Master 01,芭蕾,短,豆沙粉,雾灰,贝壳片,水波纹,甜美,日常,内容博主,海盐蓝,"贝壳片 finish with 水波纹, 甜美 vibe for 日常",贝壳片工艺结合水波纹元素，呈现甜美风格，适合日常场景,images/raw/ND06-001.jpg,待出图,31.8,70.02,9.4,7.9,5.7,8.2,8.4,8.5,
ND06-002,Jelly Summer 果冻夏日系列,Jelly Master 02,短方,中长,豆沙粉,香槟金,立体滴胶,水波纹,氛围感,约会,新娘,浅紫,"立体滴胶 finish with 水波纹, 氛围感 vibe for 约会",立体滴胶工艺结合水波纹元素，呈现氛围感风格，适合约会场景,images/raw/ND06-002.jpg,待出图,33.14,98.61,6.9,8.5,8.5,8.8,7.3,7.9,
ND06-003,Jelly Summer 果冻夏日系列,Jelly Master 03,方圆,中长,银铬,雾灰,立体滴胶,蝴蝶结,极简,日常,白领,浅紫,"立体滴胶 finish with 蝴蝶结, 极简 vibe for 日常",立体滴胶工艺结合蝴蝶结元素，呈现极简风格，适合日常场景,images/raw/ND06-003.jpg,待出图,34.38,91.69,8.9,7.8,7.3,8.0,7.8,8.4,
ND06-004,Jelly Summer 果冻夏日系列,Jelly Master 04,杏仁,中,海盐蓝,亮银,渐变,水波纹,极简,婚礼,时尚用户,淡粉,"渐变 finish with 水波纹, 极简 vibe for 婚礼",渐变工艺结合水波纹元素，呈现极简风格，适合婚礼场景,images/raw/ND06-004.jpg,打样中,31.69,84.06,7.7,8.3,9.2,8.1,6.7,7.8,
ND06-005,Jelly Summer 果冻夏日系列,Jelly Master 05,芭蕾,中,樱花粉,珠光白,珍珠贴,几何线条,甜美,拍照,白领,银灰,"珍珠贴 finish with 几何线条, 甜美 vibe for 拍照",珍珠贴工艺结合几何线条元素，呈现甜美风格，适合拍照场景,images/raw/ND06-005.jpg,打样中,17.73,49.87,9.4,7.8,6.7,8.0,9.5,8.8,
ND06-006,Jelly Summer 果冻夏日系列,Jelly Master 06,短方,中,薰衣草紫,透明,猫眼,珍珠,氛围感,旅行,新娘,米白,"猫眼 finish with 珍珠, 氛围感 vibe for 旅行",猫眼工艺结合珍珠元素，呈现氛围感风格，适合旅行场景,images/raw/ND06-006.jpg,打样中,32.98,95.79,8.4,7.9,8.2,7.8,8.6,8.3,
ND06-007,Jelly Summer 果冻夏日系列,Jelly Master 07,杏仁,短,豆沙粉,冰蓝,贝壳片,爱心,高级感,日常,新娘,银灰,"贝壳片 finish with 爱心, 高级感 vibe for 日常",贝壳片工艺结合爱心元素，呈现高级感风格，适合日常场景,images/raw/ND06-007.jpg,已确认,32.62,91.6,7.7,8.7,8.3,9.3,6.3,8.2,
ND06-008,Jelly Summer 果冻夏日系列,Jelly Master 08,方圆,短,酒红,浅粉,渐变,爱心,通勤,拍照,学生,浅紫,"渐变 finish with 爱心, 通勤 vibe for 拍照",渐变工艺结合爱心元素，呈现通勤风格，适合拍照场景,images/raw/ND06-008.jpg,已确认,15.99,42.84,6.9,7.5,5.7,7.6,7.8,7.5,
ND06-009,Jelly Summer 果冻夏日系列,Jelly Master 09,杏仁,中长,银铬,亮银,法式描边,珍珠,通勤,旅行,内容博主,海盐蓝,"法式描边 finish with 珍珠, 通勤 vibe for 旅行",法式描边工艺结合珍珠元素，呈现通勤风格，适合旅行场景,images/raw/ND06-009.jpg,可量产,28.4,85.09,8.5,7.2,7.9,8.0,8.6,8.2,
